soc,title,employment,median_wage,aioe,gpt_beta_model,gpt_beta_human,soc_major
29-1221,"Pediatricians, General",39390,210040.0,,0.4833,0.3667,29
29-1222,"Physicians, Pathologists",11110,312400.0,,0.4697,0.3182,29
29-1223,Psychiatrists,27980,281870.0,,0.4783,0.5217,29
29-1224,Radiologists,26770,420860.0,,0.4889,0.5111,29
29-1229,"Physicians, All Other",342720,265930.0,,0.4164,0.318,29
29-1241,"Ophthalmologists, Except Pediatric",8950,300080.0,,0.4265,0.3382,29
29-1242,"Orthopedic Surgeons, Except Pediatric",14100,358550.0,,0.3333,0.2333,29
29-1243,Pediatric Surgeons,1190,559030.0,,0.3611,0.2222,29
29-1249,"Surgeons, All Other",25140,414010.0,,,,29
29-1291,Acupuncturists,7830,76040.0,,0.1667,0.3056,29
29-1292,Dental Hygienists,222740,98100.0,,0.1875,0.0938,29
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",28630,115210.0,,0.4964,0.3157,29
29-2010,Clinical Laboratory Technologists and Technicians,332940,62930.0,,,,29
29-2031,Cardiovascular Technologists and Technicians,62960,74310.0,-0.091,0.3571,0.1714,29
29-2032,Diagnostic Medical Sonographers,90160,96590.0,-0.2641,0.3026,0.2895,29
29-2033,Nuclear Medicine Technologists,17080,101370.0,0.0855,0.2903,0.2581,29
29-2034,Radiologic Technologists and Technicians,230490,80110.0,-0.5559,0.3772,0.2807,29
29-2035,Magnetic Resonance Imaging Technologists,43390,95480.0,-0.0728,0.3222,0.2222,29
29-2036,Medical Dosimetrists,3410,147470.0,,0.45,0.3,29
29-2042,Emergency Medical Technicians,180510,44470.0,,0.2083,0.2083,29
29-2043,Paramedics,100610,60600.0,,0.1538,0.1923,29
29-2051,Dietetic Technicians,31560,37640.0,-0.126,0.5435,0.413,29
29-2052,Pharmacy Technicians,471680,45750.0,0.007,0.4265,0.4265,29
29-2053,Psychiatric Technicians,156960,45130.0,-0.2203,0.12,0.34,29
29-2055,Surgical Technologists,117460,64650.0,-0.483,0.0667,0.0167,29
29-2056,Veterinary Technologists and Technicians,129140,47380.0,-0.3623,0.1639,0.1475,29
29-2057,Ophthalmic Medical Technicians,71010,45570.0,0.0787,0.3289,0.1053,29
29-2061,Licensed Practical and Licensed Vocational Nurses,648410,64400.0,-0.5137,0.25,0.25,29
29-2072,Medical Records Specialists,194720,51140.0,,0.6176,0.5588,29
29-2081,"Opticians, Dispensing",73530,47260.0,0.1014,0.2857,0.2381,29
29-2091,Orthotists and Prosthetists,9390,81110.0,0.0666,0.2759,0.1897,29
29-2092,Hearing Aid Specialists,11270,65160.0,0.5649,0.2,0.05,29
29-2099,"Health Technologists and Technicians, All Other",182610,50290.0,-0.2839,0.4114,0.2752,29
29-9021,Health Information Technologists and Medical Registrars,38100,68020.0,,0.6562,0.5312,29
29-9091,Athletic Trainers,30500,62520.0,-0.3311,0.2791,0.407,29
29-9092,Genetic Counselors,3740,100040.0,1.5277,0.5,0.6316,29
29-9093,Surgical Assistants,22270,66800.0,,0.0392,0.0392,29
29-9099,"Healthcare Practitioners and Technical Workers, All Other",35010,65790.0,0.2296,0.3786,0.25,29
31-1120,Home Health and Personal Care Aides,4305810,35800.0,,,,31
31-1131,Nursing Assistants,1448910,42260.0,,0.1017,0.1356,31
31-1132,Orderlies,52440,38290.0,,0.0,0.0469,31
31-1133,Psychiatric Aides,35520,44910.0,,0.125,0.125,31
31-2011,Occupational Therapy Assistants,51290,72300.0,-0.3154,0.2674,0.2326,31
31-2012,Occupational Therapy Aides,4310,39160.0,-0.7734,0.2407,0.0741,31
31-2021,Physical Therapist Assistants,112430,68380.0,-0.5309,0.1538,0.1026,31
31-2022,Physical Therapist Aides,48150,35240.0,-0.8823,0.1818,0.1515,31
31-9011,Massage Therapists,98790,58450.0,-1.4102,0.0741,0.1852,31
31-9091,Dental Assistants,387790,48070.0,-0.5269,0.2667,0.1,31
31-9092,Medical Assistants,817870,45690.0,0.1498,0.359,0.141,31
31-9093,Medical Equipment Preparers,77420,47700.0,-0.7309,0.1111,0.037,31
31-9094,Medical Transcriptionists,41550,40410.0,1.0626,0.875,0.2321,31
31-9095,Pharmacy Aides,39530,37680.0,-0.1553,0.38,0.14,31
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,126580,38150.0,-0.7736,0.2222,0.1481,31
31-9097,Phlebotomists,143540,45230.0,-0.2778,0.1829,0.1098,31
31-9099,"Healthcare Support Workers, All Other",109740,48430.0,0.166,0.3651,0.1053,31
33-1011,First-Line Supervisors of Correctional Officers,53380,77970.0,-0.5584,0.2826,0.2826,33
33-1012,First-Line Supervisors of Police and Detectives,154610,106040.0,-0.1923,0.3289,0.3553,33
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,99140,93530.0,-0.593,0.4151,0.4057,33
33-1091,First-Line Supervisors of Security Workers,81480,55940.0,,0.4048,0.2619,33
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",20690,76400.0,,,,33
33-2011,Firefighters,345990,59280.0,-1.3202,0.1404,0.0877,33
33-2021,Fire Inspectors and Investigators,13800,75920.0,0.0628,0.2885,0.3846,33
33-2022,Forest Fire Inspectors and Prevention Specialists,2780,56870.0,-0.2144,0.2188,0.375,33
33-3011,Bailiffs,17310,56600.0,-0.5103,0.0357,0.1607,33
33-3012,Correctional Officers and Jailers,380500,58940.0,-0.8875,0.2614,0.2386,33
33-3021,Detectives and Criminal Investigators,114430,93790.0,0.2258,0.3974,0.3477,33
33-3031,Fish and Game Wardens,5770,74060.0,-0.4585,0.2841,0.1591,33
33-3041,Parking Enforcement Workers,9050,46730.0,-0.624,0.3205,0.3205,33
33-3051,Police and Sheriff's Patrol Officers,670520,76210.0,-0.6681,0.3512,0.2473,33
33-3052,Transit and Railroad Police,4390,90230.0,-0.8206,0.25,0.4375,33
33-9011,Animal Control Workers,12070,45660.0,-0.5946,0.35,0.1333,33
33-9021,Private Detectives and Investigators,35580,51220.0,0.7483,0.3889,0.3889,33
33-9031,Gambling Surveillance Officers and Gambling Investigators,9520,43370.0,0.7284,0.4375,0.3125,33
33-9032,Security Guards,1283470,38020.0,-0.3908,0.1667,0.25,33
33-9091,Crossing Guards and Flaggers,94360,38100.0,-0.57,0.1053,0.2632,33
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",157550,33580.0,-0.4718,0.08,0.16,33
33-9093,Transportation Security Screeners,50290,66770.0,-0.5069,0.26,0.23,33
33-9094,School Bus Monitors,78420,35100.0,,0.1667,0.1944,33
33-9099,"Protective Service Workers, All Other",81500,42540.0,0.0764,0.378,0.3415,33
35-1011,Chefs and Head Cooks,200040,62470.0,-0.2676,0.2619,0.2619,35
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1223240,44080.0,-0.2575,0.5111,0.2556,35
35-2011,"Cooks, Fast Food",641070,30890.0,-0.7132,0.0,0.0263,35
35-2012,"Cooks, Institution and Cafeteria",441050,37450.0,-0.6361,0.1207,0.0862,35
35-2013,"Cooks, Private Household",1100,47940.0,-0.7867,0.24,0.28,35
35-2014,"Cooks, Restaurant",1409890,37390.0,-0.7418,0.0946,0.1216,35
35-2015,"Cooks, Short Order",138650,35880.0,-0.5934,0.0,0.0,35
35-2019,"Cooks, All Other",19350,37690.0,,,,35
35-2021,Food Preparation Workers,893600,35320.0,-1.2264,0.037,0.0463,35
35-3011,Bartenders,756390,34340.0,-0.616,0.1944,0.1389,35
35-3023,Fast Food and Counter Workers,3854050,31200.0,,0.097,0.1154,35
35-3031,Waiters and Waitresses,2270910,35230.0,-0.9481,0.1837,0.2245,35
35-3041,"Food Servers, Nonrestaurant",293900,35360.0,-0.727,0.1296,0.1111,35
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,542750,33980.0,-1.9271,0.0,0.0,35
35-9021,Dishwashers,477450,34810.0,-1.7386,0.0,0.0,35
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",432690,31200.0,-0.0565,0.2286,0.3286,35
35-9099,"Food Preparation and Serving Related Workers, All Other",84630,35840.0,,,,35
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,178760,49100.0,-0.5854,0.2653,0.2551,37
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",130760,58430.0,-0.5549,0.3545,0.2455,37
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2209760,36840.0,-1.4362,0.0,0.0278,37
37-2012,Maids and Housekeeping Cleaners,860670,35510.0,-1.4807,0.0,0.0588,37
37-2019,"Building Cleaning Workers, All Other",17210,44040.0,,,,37
37-2021,Pest Control Workers,102620,45250.0,-0.7255,0.25,0.2292,37
37-3011,Landscaping and Groundskeeping Workers,952640,39150.0,-1.8243,0.0244,0.0244,37
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",27050,46340.0,-0.8848,0.0556,0.0556,37
37-3013,Tree Trimmers and Pruners,55160,50960.0,-1.727,0.061,0.061,37
37-3019,"Grounds Maintenance Workers, All Other",13630,46860.0,,,,37
39-1013,First-Line Supervisors of Gambling Services Workers,26010,63820.0,,0.4327,0.3365,39
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",103190,48560.0,,0.3684,0.3421,39
39-1022,First-Line Supervisors of Personal Service Workers,114110,48590.0,,0.4138,0.3621,39
39-2011,Animal Trainers,18770,39990.0,-0.9168,0.1034,0.1379,39
39-2021,Animal Caretakers,266910,35360.0,-0.889,0.2727,0.1818,39
39-3011,Gambling Dealers,83910,34320.0,0.0606,0.1351,0.1486,39
39-3012,Gambling and Sports Book Writers and Runners,8950,34980.0,0.4653,0.2692,0.2308,39
39-3019,"Gambling Service Workers, All Other",14140,36310.0,,,,39
39-3021,Motion Picture Projectionists,1480,38270.0,-0.3787,0.1818,0.0758,39
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",121770,32910.0,-0.2421,0.1429,0.2,39
39-3091,Amusement and Recreation Attendants,397830,32150.0,-0.5246,0.2115,0.3654,39
39-3092,Costume Attendants,6510,50400.0,-0.4534,0.2639,0.2361,39
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",15560,36300.0,-0.3454,0.0645,0.1452,39
39-3099,"Entertainment Attendants and Related Workers, All Other",7060,32640.0,,,,39
39-4011,Embalmers,3890,58780.0,-0.7311,0.04,0.04,39
39-4012,Crematory Operators,2970,43650.0,,0.0417,0.125,39
39-4021,Funeral Attendants,31090,35680.0,-0.5445,0.1778,0.2333,39
39-4031,"Morticians, Undertakers, and Funeral Arrangers",25100,55010.0,-0.1904,0.1628,0.093,39
39-5011,Barbers,15000,38210.0,-0.7295,0.1618,0.0735,39
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",305710,35790.0,-0.6825,0.0789,0.0526,39
39-5091,"Makeup Artists, Theatrical and Performance",2340,97150.0,-0.4596,0.3415,0.2439,39
39-5092,Manicurists and Pedicurists,152770,35760.0,0.0335,0.0833,0.0556,39
39-5093,Shampooers,8070,32600.0,-0.9054,0.1429,0.0714,39
39-5094,Skincare Specialists,72890,45330.0,-0.2628,0.197,0.1061,39
39-6011,Baggage Porters and Bellhops,28510,37080.0,-1.272,0.1481,0.2778,39
39-6012,Concierges,49240,38950.0,0.8558,0.4667,0.7,39
39-7010,Tour and Travel Guides,53500,38120.0,,,,39
39-9011,Childcare Workers,518910,34980.0,-0.3835,0.1414,0.3404,39
39-9031,Exercise Trainers and Group Fitness Instructors,322930,47160.0,-2.1119,0.0147,0.2353,39
39-9032,Recreation Workers,331490,36560.0,-0.2441,0.2381,0.25,39
39-9041,Residential Advisors,84760,42240.0,0.4746,0.24,0.28,39
39-9099,"Personal Care and Service Workers, All Other",60420,41600.0,,,,39
41-1011,First-Line Supervisors of Retail Sales Workers,1121800,48520.0,0.0192,0.4865,0.4054,41
41-1012,First-Line Supervisors of Non-Retail Sales Workers,214390,87520.0,1.3162,0.537,0.4444,41
41-2011,Cashiers,3089410,32880.0,-0.2481,0.2093,0.3605,41
41-2012,Gambling Change Persons and Booth Cashiers,21530,36220.0,-0.0501,0.2619,0.3095,41
41-2021,Counter and Rental Clerks,400810,41300.0,0.0784,0.5323,0.6774,41
41-2022,Parts Salespersons,270070,38630.0,-0.1185,0.3429,0.3429,41
41-2031,Retail Salespersons,3897860,35410.0,0.0873,0.3421,0.3553,41
41-3011,Advertising Sales Agents,91700,64820.0,1.1626,0.5385,0.6923,41
41-3021,Insurance Sales Agents,479100,62280.0,1.3413,0.5758,0.5303,41
41-3031,"Securities, Commodities, and Financial Services Sales Agents",489570,78660.0,1.2563,0.6058,0.5192,41
41-3041,Travel Agents,55110,50160.0,1.1336,0.5625,0.5625,41
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1256010,69990.0,,0.6333,0.5667,41
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800,104920.0,0.8912,0.4983,0.5735,41
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1238190,72080.0,0.8225,0.6207,0.7069,41
41-9011,Demonstrators and Product Promoters,64520,39320.0,0.1236,0.1282,0.3974,41
41-9012,Models,3780,48470.0,-1.122,0.2333,0.4,41
41-9021,Real Estate Brokers,46100,73220.0,1.1497,0.5,0.4219,41
41-9022,Real Estate Sales Agents,193370,52830.0,0.8649,0.4375,0.4107,41
41-9031,Sales Engineers,51790,124900.0,1.1454,0.5114,0.5341,41
41-9041,Telemarketers,58430,35450.0,1.1181,0.8056,0.5278,41
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2760,41380.0,1.1071,0.2609,0.5217,41
41-9099,"Sales and Related Workers, All Other",93180,48280.0,,,,41
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1436680,69500.0,1.0387,0.4896,0.5312,43
43-2011,"Switchboard Operators, Including Answering Service",34280,38630.0,0.9833,0.629,0.4839,43
43-2021,Telephone Operators,3430,41740.0,1.0197,0.8947,0.5526,43
43-2099,"Communications Equipment Operators, All Other",1200,54680.0,,,,43
43-3011,Bill and Account Collectors,158830,47030.0,1.272,0.6964,0.4286,43
43-3021,Billing and Posting Clerks,404060,48500.0,1.3335,0.7738,0.4167,43
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1373680,50670.0,1.0397,0.8023,0.314,43
43-3041,Gambling Cage Workers,14430,37580.0,0.4027,0.4194,0.4194,43
43-3051,Payroll and Timekeeping Clerks,153140,58260.0,1.2576,0.8378,0.4865,43
43-3061,Procurement Clerks,55810,50580.0,1.4878,0.6143,0.4571,43
43-3071,Tellers,329480,43030.0,0.4728,0.5417,0.3333,43
43-3099,"Financial Clerks, All Other",36260,53830.0,,,,43
43-4011,Brokerage Clerks,35940,65750.0,1.1449,0.7667,0.8,43
43-4021,Correspondence Clerks,4290,46800.0,1.1498,0.9643,0.7321,43
43-4031,"Court, Municipal, and License Clerks",179750,48700.0,1.1663,0.7,0.5909,43
43-4041,"Credit Authorizers, Checkers, and Clerks",12030,50080.0,1.4403,0.65,0.575,43
43-4051,Customer Service Representatives,2595750,44770.0,0.9563,0.5682,0.7045,43
43-4061,"Eligibility Interviewers, Government Programs",154800,54210.0,1.2263,0.68,0.62,43
43-4071,File Clerks,73440,43600.0,0.284,0.7941,0.4706,43
43-4081,"Hotel, Motel, and Resort Desk Clerks",261420,35070.0,0.6063,0.5,0.3974,43
43-4111,"Interviewers, Except Eligibility and Loan",148060,45920.0,1.297,0.6724,0.431,43
43-4121,"Library Assistants, Clerical",85520,36910.0,0.2039,0.5345,0.4397,43
43-4131,Loan Interviewers and Clerks,164790,50020.0,1.3644,0.5938,0.5,43
43-4141,New Accounts Clerks,36860,47670.0,1.175,0.56,0.6,43
43-4151,Order Clerks,75200,46170.0,0.8389,0.7143,0.6,43
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",90220,50610.0,1.3531,0.6207,0.4655,43
43-4171,Receptionists and Information Clerks,910180,38010.0,1.0132,0.5333,0.5833,43
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,118710,44390.0,0.2273,0.4571,0.5286,43
43-4199,"Information and Record Clerks, All Other",134920,49500.0,,,,43
43-5011,Cargo and Freight Agents,97670,52260.0,1.4054,0.5273,0.4288,43
43-5021,Couriers and Messengers,68640,39200.0,-0.9591,0.3103,0.1552,43
43-5031,Public Safety Telecommunicators,102500,53040.0,0.9074,0.6562,0.5938,43
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",202810,50340.0,1.2345,0.6739,0.6522,43
43-5041,"Meter Readers, Utilities",19430,48150.0,-0.9724,0.4375,0.3542,43
43-5051,Postal Service Clerks,73720,62130.0,-0.5187,0.3148,0.2778,43
43-5052,Postal Service Mail Carriers,328820,60550.0,-1.0647,0.2308,0.3462,43
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",105200,58470.0,-1.185,0.1,0.125,43
43-5061,"Production, Planning, and Expediting Clerks",390160,59650.0,0.6999,0.5962,0.5192,43
43-5071,"Shipping, Receiving, and Inventory Clerks",816870,45260.0,-0.7463,0.5,0.3571,43
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",53300,46380.0,-0.1861,0.2931,0.2759,43
43-6011,Executive Secretaries and Executive Administrative Assistants,459910,76590.0,1.0796,0.6486,0.7432,43
43-6012,Legal Secretaries and Administrative Assistants,156280,55570.0,1.0145,0.6957,0.7609,43
43-6013,Medical Secretaries and Administrative Assistants,961610,45930.0,1.218,0.6667,0.6111,43
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1706790,47540.0,1.0991,0.6442,0.5673,43
43-9021,Data Entry Keyers,127080,41340.0,0.3108,0.8929,0.5,43
43-9022,Word Processors and Typists,35010,49280.0,0.622,0.7432,0.4865,43
43-9031,Desktop Publishers,3350,55290.0,0.3438,0.6452,0.4839,43
43-9041,Insurance Claims and Policy Processing Clerks,214260,49230.0,1.2402,0.8333,0.5119,43
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",55230,39280.0,-0.8185,0.2162,0.1216,43
43-9061,"Office Clerks, General",2464940,45010.0,0.9889,0.5758,0.5,43
43-9071,"Office Machine Operators, Except Computer",25130,40960.0,-0.5171,0.3971,0.1765,43
43-9081,Proofreaders and Copy Markers,4580,51120.0,1.2884,0.975,0.6,43
43-9111,Statistical Assistants,4710,50330.0,1.39,0.8913,0.6739,43
43-9199,"Office and Administrative Support Workers, All Other",192260,45670.0,,,,43
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27960,59320.0,-0.4792,0.2807,0.1579,45
45-2011,Agricultural Inspectors,14410,49940.0,0.1705,0.2917,0.2917,45
45-2021,Animal Breeders,1330,51130.0,-1.0443,0.1667,0.0758,45
45-2041,"Graders and Sorters, Agricultural Products",25180,35730.0,-1.371,0.1,0.05,45
45-2091,Agricultural Equipment Operators,28500,41730.0,-1.1452,0.0,0.0,45
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",265500,35660.0,-1.6013,0.1429,0.0714,45
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",32810,36670.0,-1.1084,0.0625,0.0781,45
45-2099,"Agricultural Workers, All Other",3620,39850.0,,,,45
45-4011,Forest and Conservation Workers,6050,43680.0,-1.0642,0.0435,0.0652,45
45-4021,Fallers,3130,52100.0,-1.7954,0.0312,0.125,45
45-4022,Logging Equipment Operators,21060,49740.0,-1.0037,0.1875,0.0625,45
45-4023,Log Graders and Scalers,3070,46330.0,-0.4768,0.2105,0.1579,45
45-4029,"Logging Workers, All Other",1700,50840.0,,,,45
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,812210,79920.0,-0.3054,0.4167,0.2333,47
47-2011,Boilermakers,10190,76410.0,-1.0975,0.0303,0.0,47
47-2021,Brickmasons and Blockmasons,52550,62120.0,-1.7543,0.0385,0.0,47
47-2022,Stonemasons,7820,57390.0,-1.7148,0.0,0.0,47
47-2031,Carpenters,670090,60580.0,-1.3236,0.1444,0.0889,47
47-2041,Carpet Installers,13780,50340.0,-1.5646,0.0625,0.0312,47
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",23640,56460.0,-1.301,0.0,0.0,47
47-2043,Floor Sanders and Finishers,3720,50440.0,-1.7487,0.0714,0.0,47
47-2044,Tile and Stone Setters,35850,55690.0,-1.2254,0.0875,0.0375,47
47-2051,Cement Masons and Concrete Finishers,206170,57020.0,-1.7774,0.0,0.0,47
47-2053,Terrazzo Workers and Finishers,1180,76170.0,-1.7761,0.0,0.0227,47
47-2061,Construction Laborers,1096780,47120.0,-1.623,0.05,0.025,47
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",41820,53340.0,-1.1847,0.0,0.0,47
47-2072,Pile Driver Operators,2310,73300.0,-1.22,0.0,0.0,47
47-2073,Operating Engineers and Other Construction Equipment Operators,478090,59850.0,-0.8815,0.0543,0.087,47
47-2081,Drywall and Ceiling Tile Installers,83080,58930.0,-1.648,0.0417,0.0208,47
47-2082,Tapers,12840,68270.0,-1.5408,0.0,0.0,47
47-2111,Electricians,757220,63190.0,-0.7797,0.1463,0.1463,47
47-2121,Glaziers,58480,57080.0,-1.3889,0.0833,0.0312,47
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",44440,49120.0,-1.6188,0.05,0.1,47
47-2132,"Insulation Workers, Mechanical",25660,58340.0,-1.2686,0.0455,0.0455,47
47-2141,"Painters, Construction and Maintenance",225190,49400.0,-1.588,0.0571,0.0286,47
47-2142,Paperhangers,1570,52140.0,-1.7275,0.027,0.0,47
47-2151,Pipelayers,33050,49000.0,-1.2256,0.0357,0.0,47
47-2152,"Plumbers, Pipefitters, and Steamfitters",465840,63800.0,-1.1212,0.0753,0.0644,47
47-2161,Plasterers and Stucco Masons,19310,57660.0,-1.7556,0.0769,0.0385,47
47-2171,Reinforcing Iron and Rebar Workers,13800,58970.0,-1.971,0.0714,0.0,47
47-2181,Roofers,135490,55440.0,-1.7529,0.04,0.0,47
47-2211,Sheet Metal Workers,119770,61800.0,-1.175,0.0658,0.0395,47
47-2221,Structural Iron and Steel Workers,68380,62780.0,-1.7801,0.0286,0.0,47
47-2231,Solar Photovoltaic Installers,31350,53140.0,-0.9442,0.11,0.11,47
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14170,47550.0,-1.9423,0.0,0.0,47
47-3012,Helpers--Carpenters,21680,43780.0,-1.4253,0.0,0.0,47
47-3013,Helpers--Electricians,63630,42670.0,-1.5069,0.0244,0.0,47
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7490,40470.0,-2.0448,0.0,0.0,47
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",44330,42360.0,-1.6789,0.0,0.0,47
47-3016,Helpers--Roofers,6030,44160.0,-1.8982,0.0,0.0,47
47-3019,"Helpers, Construction Trades, All Other",24770,42670.0,,,,47
47-4011,Construction and Building Inspectors,146720,74690.0,0.286,0.3341,0.2824,47
47-4021,Elevator and Escalator Installers and Repairers,23790,109910.0,-0.8605,0.1842,0.0789,47
47-4031,Fence Erectors,24480,47980.0,-1.9021,0.0513,0.0256,47
47-4041,Hazardous Materials Removal Workers,51710,49450.0,-0.6887,0.0806,0.0323,47
47-4051,Highway Maintenance Workers,154960,50260.0,-1.2791,0.0161,0.0,47
47-4061,Rail-Track Laying and Maintenance Equipment Operators,19580,70070.0,-1.3991,0.0,0.0,47
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,30650,49880.0,-1.2106,0.0781,0.0938,47
47-4090,Miscellaneous Construction and Related Workers,28380,49910.0,,,,47
47-5011,"Derrick Operators, Oil and Gas",10590,58620.0,-1.415,0.0,0.0,47
47-5012,"Rotary Drill Operators, Oil and Gas",12600,67890.0,-0.7737,0.0526,0.0263,47
47-5013,"Service Unit Operators, Oil and Gas",43140,58160.0,-0.9719,0.0645,0.1452,47
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",34480,57430.0,,0.0,0.0,47
47-5023,"Earth Drillers, Except Oil and Gas",19450,60190.0,,0.1364,0.1136,47
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",5100,61390.0,,0.1354,0.1146,47
47-5041,Continuous Mining Machine Operators,14000,61810.0,-1.1655,0.0,0.06,47
47-5043,"Roof Bolters, Mining",2160,78540.0,,0.0,0.0,47
47-5044,"Loading and Moving Machine Operators, Underground Mining",5930,74500.0,,0.0233,0.0814,47
47-5049,"Underground Mining Machine Operators, All Other",3180,70130.0,,,,47
47-5051,"Rock Splitters, Quarry",3320,48740.0,-1.7635,0.0769,0.0769,47
47-5071,"Roustabouts, Oil and Gas",44970,46960.0,-1.519,0.0,0.0,47
47-5081,Helpers--Extraction Workers,6700,47730.0,-1.5432,0.0,0.0652,47
47-5099,"Extraction Workers, All Other",5540,57010.0,,,,47
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",617500,79860.0,-0.0205,0.4103,0.2692,49
49-2011,"Computer, Automated Teller, and Office Machine Repairers",65600,47810.0,-0.3458,0.3673,0.2041,49
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",11140,63520.0,-0.6335,0.1071,0.0833,49
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",140920,63890.0,-0.853,0.2812,0.2031,49
49-2091,Avionics Technicians,18830,82280.0,-0.1729,0.24,0.14,49
49-2092,"Electric Motor, Power Tool, and Related Repairers",14450,56210.0,-0.8106,0.1058,0.0192,49
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",6940,84890.0,-0.8304,0.24,0.16,49
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",65010,74090.0,-0.4632,0.3077,0.2821,49
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",20720,103020.0,-0.5523,0.34,0.16,49
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",8550,48420.0,-0.7916,0.1667,0.125,49
49-2097,Audiovisual Equipment Installers and Repairers,19780,52600.0,-0.5713,0.2381,0.0952,49
49-2098,Security and Fire Alarm Systems Installers,86340,60070.0,-0.6926,0.1667,0.1833,49
49-3011,Aircraft Mechanics and Service Technicians,138090,79870.0,-0.6551,0.1343,0.0597,49
49-3021,Automotive Body and Related Repairers,149310,54890.0,-1.1806,0.0426,0.0426,49
49-3022,Automotive Glass Installers and Repairers,20310,47630.0,-1.2023,0.0,0.0,49
49-3023,Automotive Service Technicians and Mechanics,704640,50620.0,-0.9547,0.0818,0.0727,49
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,289960,61770.0,-1.0105,0.0,0.0,49
49-3041,Farm Equipment Mechanics and Service Technicians,37870,56550.0,-1.207,0.1154,0.1731,49
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",176600,65510.0,-1.1698,0.1,0.125,49
49-3043,Rail Car Repairers,21350,67530.0,-1.4481,0.0968,0.0645,49
49-3051,Motorboat Mechanics and Service Technicians,23220,57550.0,-0.8864,0.0769,0.0385,49
49-3052,Motorcycle Mechanics,13510,48580.0,-0.7637,0.0,0.0,49
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,36060,47880.0,-0.8941,0.1786,0.1071,49
49-3091,Bicycle Repairers,12170,42780.0,-0.9226,0.1034,0.069,49
49-3092,Recreational Vehicle Service Technicians,17430,52000.0,-0.9244,0.0606,0.0909,49
49-3093,Tire Repairers and Changers,108410,37710.0,-1.5507,0.0,0.0,49
49-9011,Mechanical Door Repairers,27120,55720.0,-1.3832,0.1364,0.0682,49
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",48240,74340.0,-0.7607,0.131,0.0714,49
